"filename", "language", "TypeScript", "JSON", "HTML", "JSON with Comments", "CSS", "TypeScript JSX", "Markdown", "XML", "JavaScript", "Batch", "Properties", "Groovy", "Java", "Ignore", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\Vitalii\Projects\pc-hub\backend\mysite\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\mysite\asgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -7, -17
"c:\Users\Vitalii\Projects\pc-hub\backend\mysite\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -140, 0, -30, -47, -217
"c:\Users\Vitalii\Projects\pc-hub\backend\mysite\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -5, -40
"c:\Users\Vitalii\Projects\pc-hub\backend\mysite\wsgi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -7, -17
"c:\Users\Vitalii\Projects\pc-hub\backend\news\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\news\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -4, -18
"c:\Users\Vitalii\Projects\pc-hub\backend\news\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -3, -7
"c:\Users\Vitalii\Projects\pc-hub\backend\news\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, -1, -7, -41
"c:\Users\Vitalii\Projects\pc-hub\backend\news\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\news\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, -13, -72
"c:\Users\Vitalii\Projects\pc-hub\backend\news\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -5, -15
"c:\Users\Vitalii\Projects\pc-hub\backend\news\signals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, -1, -5, -24
"c:\Users\Vitalii\Projects\pc-hub\backend\news\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -2, -4
"c:\Users\Vitalii\Projects\pc-hub\backend\news\translation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -4, -15
"c:\Users\Vitalii\Projects\pc-hub\backend\news\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, -2, -8
"c:\Users\Vitalii\Projects\pc-hub\backend\news\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -12, -36
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -3, -11
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -3, -7
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, 0, -1, -7, -30
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\migrations\0002_deliveryoption_image.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -1, -6, -19
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, -7, -30
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -6, -19
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -2, -4
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\translation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -4, -12
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -2, -4
"c:\Users\Vitalii\Projects\pc-hub\backend\product\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\product\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -154, 0, -4, -47, -205
"c:\Users\Vitalii\Projects\pc-hub\backend\product\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -3, -7
"c:\Users\Vitalii\Projects\pc-hub\backend\product\filters.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -7, -34
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -149, 0, -1, -7, -157
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0002_rename_varranty_product_warranty.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -1, -6, -19
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0003_remove_product_discount_product_discounted_price.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, -1, -6, -23
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0004_categoryattribute.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, 0, -1, -6, -29
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0005_alter_categoryattribute_unique_together_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, -1, -6, -31
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\product\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -231, 0, 0, -56, -287
"c:\Users\Vitalii\Projects\pc-hub\backend\product\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -171, 0, -2, -43, -216
"c:\Users\Vitalii\Projects\pc-hub\backend\product\signals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, -2, -9, -43
"c:\Users\Vitalii\Projects\pc-hub\backend\product\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -2
"c:\Users\Vitalii\Projects\pc-hub\backend\product\translation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, -10, -30
"c:\Users\Vitalii\Projects\pc-hub\backend\product\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -2, -21
"c:\Users\Vitalii\Projects\pc-hub\backend\product\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -119, 0, -16, -46, -181
"c:\Users\Vitalii\Projects\pc-hub\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, -1, -40
"c:\Users\Vitalii\Projects\pc-hub\backend\script_for_dump.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, -1, -3, -13
"c:\Users\Vitalii\Projects\pc-hub\backend\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\user\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -4, -13
"c:\Users\Vitalii\Projects\pc-hub\backend\user\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -3, -7
"c:\Users\Vitalii\Projects\pc-hub\backend\user\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, -1, -7, -44
"c:\Users\Vitalii\Projects\pc-hub\backend\user\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Vitalii\Projects\pc-hub\backend\user\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -125, 0, 0, -29, -154
"c:\Users\Vitalii\Projects\pc-hub\backend\user\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -11, -50
"c:\Users\Vitalii\Projects\pc-hub\backend\user\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -2, -4
"c:\Users\Vitalii\Projects\pc-hub\backend\user\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\Vitalii\Projects\pc-hub\backend\user\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -209, 0, 0, -59, -268
"c:\Users\Vitalii\Projects\pc-hub\frontend\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Vitalii\Projects\pc-hub\frontend\.prettierrc.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Vitalii\Projects\pc-hub\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\Vitalii\Projects\pc-hub\frontend\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 6, 55
"c:\Users\Vitalii\Projects\pc-hub\frontend\android\app\capacitor.build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 6, 20
"c:\Users\Vitalii\Projects\pc-hub\frontend\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 6, 27
