"filename", "language", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\models.py", "Python", 23, 0, 0, 0, 7, 30
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\serializers.py", "Python", 13, 0, 0, 0, 6, 19
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\tests.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\translation.py", "Python", 8, 0, 0, 0, 4, 12
"c:\Users\Vitalii\Projects\pc-hub\backend\orders\views.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\Vitalii\Projects\pc-hub\backend\product\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\product\admin.py", "Python", 154, 0, 0, 4, 47, 205
"c:\Users\Vitalii\Projects\pc-hub\backend\product\apps.py", "Python", 4, 0, 0, 0, 3, 7
"c:\Users\Vitalii\Projects\pc-hub\backend\product\filters.py", "Python", 27, 0, 0, 0, 7, 34
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0001_initial.py", "Python", 149, 0, 0, 1, 7, 157
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0002_rename_varranty_product_warranty.py", "Python", 12, 0, 0, 1, 6, 19
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0003_remove_product_discount_product_discounted_price.py", "Python", 16, 0, 0, 1, 6, 23
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0004_categoryattribute.py", "Python", 22, 0, 0, 1, 6, 29
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\0005_alter_categoryattribute_unique_together_and_more.py", "Python", 24, 0, 0, 1, 6, 31
"c:\Users\Vitalii\Projects\pc-hub\backend\product\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Vitalii\Projects\pc-hub\backend\product\models.py", "Python", 231, 0, 0, 0, 56, 287
"c:\Users\Vitalii\Projects\pc-hub\backend\product\serializers.py", "Python", 171, 0, 0, 2, 43, 216
"c:\Users\Vitalii\Projects\pc-hub\backend\product\signals.py", "Python", 32, 0, 0, 2, 9, 43
"c:\Users\Vitalii\Projects\pc-hub\backend\product\tests.py", "Python", 1, 0, 0, 0, 1, 2
"c:\Users\Vitalii\Projects\pc-hub\backend\product\translation.py", "Python", 20, 0, 0, 0, 10, 30
"c:\Users\Vitalii\Projects\pc-hub\backend\product\urls.py", "Python", 19, 0, 0, 0, 2, 21
